,HomePrice,GDPGrowth,MortgageRate,Unemployment,CPI,HousingStarts,PersonalIncome,Population,ConstructionSpending,MedianRent,HomeownershipRate
2005-01-31,161.29,12767.29,5.71,5.3,191.6,2144,11226.5,294914.0,581168,214.5,69.1
2005-02-28,163.35,12767.29,5.63,5.4,192.4,2207,11229.0,295105.0,594003,215.0,69.1
2005-03-31,165.81,12767.29,5.93,5.2,193.1,1864,11268.8,295287.0,597200,215.5,69.1
2005-04-30,167.5,12922.66,5.86,5.2,193.7,2061,11304.2,295490.0,603975,216.0,68.6
2005-05-31,169.35,12922.66,5.72,5.1,193.6,2025,11352.7,295704.0,609170,216.4,68.6
2005-06-30,171.19,12922.66,5.58,5.0,193.7,2068,11375.5,295936.0,622726,216.8,68.6
2005-07-31,172.86,13142.64,5.7,5.0,194.9,2054,11387.1,296186.0,634572,217.5,68.8
2005-08-31,174.44,13142.64,5.82,4.9,196.1,2095,11405.3,296440.0,639501,218.0,68.8
2005-09-30,176.44,13142.64,5.77,5.0,198.8,2151,11365.2,296707.0,652748,218.6,68.8
2005-10-31,178.03,13324.2,6.06,5.0,199.1,2065,11428.7,296972.0,664407,219.3,69.0
2005-11-30,179.68,13324.2,6.33,5.0,198.1,2147,11500.1,297207.0,670757,220.0,69.0
2005-12-31,180.91,13324.2,6.27,4.9,198.1,1994,11535.2,297431.0,676135,220.5,69.0
2006-01-31,182.32,13599.16,6.14,4.7,199.3,2273,11651.8,297647.0,681263,220.9,68.5
2006-02-28,183.29,13599.16,6.25,4.8,199.4,2119,11702.8,297854.0,684482,221.6,68.5
2006-03-31,184.36,13599.16,6.32,4.7,199.7,1969,11747.5,298060.0,674457,222.3,68.5
2006-04-30,184.33,13753.42,6.51,4.7,200.7,1821,11744.4,298281.0,656899,222.9,68.7
2006-05-31,184.16,13753.42,6.6,4.6,201.3,1942,11736.8,298496.0,640049,223.6,68.7
2006-06-30,183.51,13753.42,6.68,4.6,201.8,1802,11751.9,298739.0,621219,224.4,68.7
2006-07-31,183.07,13870.19,6.76,4.7,202.9,1737,11746.9,298996.0,604020,225.2,69.0
2006-08-31,182.59,13870.19,6.52,4.7,203.8,1650,11737.0,299263.0,590189,226.2,69.0
2006-09-30,182.8,13870.19,6.4,4.5,202.8,1720,11800.1,299554.0,579753,227.1,69.0
2006-10-31,183.2,14039.56,6.36,4.4,201.9,1491,11853.7,299835.0,567752,228.0,68.9
2006-11-30,183.61,14039.56,6.24,4.5,202.0,1570,11901.9,300094.0,555299,228.9,68.9
2006-12-31,184.14,14039.56,6.14,4.4,203.1,1649,11958.6,300340.0,551740,230.0,68.9
2007-01-31,184.52,14215.65,6.22,4.6,203.44,1409,11956.6,300574.0,544096,230.81,68.4
2007-02-28,184.6,14215.65,6.28,4.5,204.23,1480,11996.0,300802.0,538260,231.74,68.4
2007-03-31,184.15,14215.65,6.16,4.4,205.29,1495,12035.1,301021.0,534655,232.5,68.4
2007-04-30,183.01,14402.08,6.18,4.5,205.9,1490,12052.8,301254.0,530749,232.98,68.2
2007-05-31,181.6,14402.08,6.26,4.4,206.76,1415,12059.9,301483.0,521499,233.55,68.2
2007-06-30,180.25,14402.08,6.66,4.6,207.23,1448,12053.3,301739.0,513524,234.07,68.2
2007-07-31,179.11,14564.12,6.7,4.7,207.6,1354,12066.4,302004.0,503486,234.73,68.2
2007-08-31,178.12,14564.12,6.57,4.6,207.67,1330,12070.9,302267.0,488816,235.31,68.2
2007-09-30,177.56,14564.12,6.38,4.7,208.55,1183,12089.6,302546.0,472995,236.06,68.2
2007-10-31,176.62,14715.06,6.38,4.7,209.19,1264,12080.4,302807.0,455045,237.14,67.8
2007-11-30,175.15,14715.06,6.21,4.7,210.83,1197,12070.1,303054.0,439144,238.17,67.8
2007-12-31,174.34,14715.06,6.1,5.0,211.44,1037,12120.5,303287.0,423699,239.1,67.8
2008-01-31,173.13,14706.54,5.76,5.0,212.17,1084,12137.1,303506.0,409420,239.85,67.8
2008-02-29,171.54,14706.54,5.92,4.9,212.69,1103,12141.8,303711.0,393193,240.32,67.8
2008-03-31,170.05,14706.54,5.97,5.1,213.45,1005,12145.9,303907.0,397469,240.87,67.8
2008-04-30,168.34,14865.7,5.92,5.0,213.94,1013,12100.8,304117.0,392801,241.47,68.1
2008-05-31,166.66,14865.7,6.04,5.4,215.21,973,12696.2,304323.0,389335,241.8,68.1
2008-06-30,165.02,14865.7,6.32,5.6,217.46,1046,12376.6,304556.0,382000,242.64,68.1
2008-07-31,163.56,14899.0,6.43,5.8,219.02,923,12188.7,304798.0,372755,243.37,67.9
2008-08-31,161.99,14899.0,6.48,6.1,218.69,844,12120.6,305045.0,360382,244.18,67.9
2008-09-30,160.31,14899.0,6.04,6.1,218.88,820,12149.0,305309.0,348206,244.93,67.9
2008-10-31,158.33,14608.21,6.2,6.5,217.0,777,12240.5,305554.0,336824,245.86,67.5
2008-11-30,156.14,14608.21,6.09,6.8,213.15,652,12345.9,305786.0,320284,246.68,67.5
2008-12-31,153.62,14608.21,5.29,7.3,211.4,560,12288.8,306004.0,301332,247.28,67.5
2009-01-31,151.51,14430.9,5.05,7.8,211.93,490,12361.5,306208.0,291523,247.97,67.3
2009-02-28,150.01,14430.9,5.13,8.3,212.7,582,12241.9,306402.0,276113,248.3,67.3
2009-03-31,148.66,14430.9,5.0,8.7,212.5,505,12242.7,306588.0,262528,248.64,67.3
2009-04-30,147.95,14381.24,4.81,9.0,212.71,478,12320.0,306787.0,251235,248.9,67.4
2009-05-31,147.69,14381.24,4.86,9.4,213.02,540,12500.1,306984.0,244399,249.07,67.4
2009-06-30,148.09,14381.24,5.42,9.5,214.79,585,12273.2,307206.0,245226,249.09,67.4
2009-07-31,148.41,14448.88,5.22,9.5,214.73,594,12218.7,307439.0,252642,248.99,67.6
2009-08-31,148.28,14448.88,5.19,9.6,215.44,586,12194.8,307685.0,258774,249.03,67.6
